customer,subtotal,total,date
Babbie Deeson,66.27,72.15,1/10/19
Robinetta Darracott,16.79,18.28,2/22/19
Teodorico Growy,73.68,80.22,2/11/19
Gabriello Skpsey,77.14,83.99,3/21/19
Alanson Wimlett,79.79,86.87,2/5/19
Jere Adacot,233.6,254.33,1/9/19
Vitia Elsip,124.05,135.06,2/11/19
Jobye Towhey,69.76,75.95,1/6/19
Pearla Porte,193.49,210.66,3/24/19
Jacinta Knowller,176.96,192.67,2/18/19
Shawnee Klimaszewski,205.76,224.02,1/6/19
Dev McDermott,178.41,194.24,2/22/19
Feodor Bidmead,176.83,192.52,1/11/19
Etheline Gissing,27.77,30.23,1/21/19
Pearla Porte,111.76,121.68,2/18/19
Arri Whitehorne,145.14,158.02,2/23/19
Robinetta Darracott,181.4,197.5,1/29/19
Feodor Bidmead,71.49,77.83,3/7/19
Lindon Duddin,31.12,33.88,1/26/19
Jere Adacot,168.79,183.77,3/27/19
Petronia Massel,101.82,110.86,2/1/19
Rudiger Roke,76.35,83.13,2/12/19
Alanson Wimlett,64.2,69.9,1/25/19
Chandra Rennolds,147.22,160.29,1/11/19
Emanuel Griffey,243.01,264.58,2/3/19
Ninon Presdie,95.25,103.7,1/27/19
Cynthie Curcher,188.54,205.27,3/23/19
Hedwiga End,245.63,267.43,3/22/19
Carl Shakesbye,72.77,79.23,1/4/19
Althea MacGiolla,76.54,83.33,2/10/19
Feodor Bidmead,143.08,155.78,3/19/19
Bernardina Sneaker,208.32,226.81,2/26/19
Dev McDermott,79.77,86.85,3/14/19
Althea MacGiolla,243.33,264.93,3/5/19
Teodorico Growy,165.09,179.74,1/14/19
Alexander McHale,237.26,258.32,3/25/19
Babbie Deeson,155.42,169.21,3/16/19
Goldina McCrohon,189.53,206.35,1/27/19
Aimee Naisby,189.1,205.88,1/13/19
Garrot Lisimore,153.94,167.6,3/19/19
Monique covino,137.15,149.32,2/10/19
Etheline Gissing,188.55,205.28,1/14/19
Patin Liles,213.23,232.15,2/12/19
Robinetta Darracott,38.19,41.58,1/31/19
Hedwiga End,171.82,187.07,3/29/19
Jacinta Knowller,67.65,73.65,1/19/19
Ninon Presdie,187.05,203.65,3/22/19
Babbie Deeson,161.93,176.3,2/26/19
Jacinta Knowller,53.8,58.57,1/21/19
Arri Whitehorne,23.78,25.89,1/25/19
Arri Whitehorne,155.11,168.88,1/10/19
Claudio Mimmack,154.52,168.23,1/6/19
Feodor Bidmead,106.93,116.42,2/15/19
Carl Shakesbye,138.05,150.3,2/23/19
Jobye Towhey,18.98,20.66,2/20/19
Monique covino,111.86,121.79,3/10/19
Ninon Presdie,165.68,180.38,2/18/19
Blithe Phettis,127.91,139.26,1/30/19
Ninon Presdie,214.57,233.61,3/16/19
Alanson Wimlett,77.1,83.94,3/2/19
Hedwiga End,219.58,239.07,2/15/19
Samaria Dryburgh,147.21,160.27,1/21/19
Ernie Scully,213.14,232.06,3/30/19
Derril Staten,60.9,66.3,1/19/19
Derril Staten,154.24,167.93,1/5/19
Stanfield McAvin,105.44,114.8,1/2/19
Lindon Duddin,96.08,104.61,2/3/19
Derril Staten,119.51,130.12,1/17/19
Hedwiga End,209.76,228.38,3/25/19
Reggi Sapson,194.07,211.29,1/7/19
Alexander McHale,85.73,93.34,3/19/19
Rafe Romand,61.43,66.88,2/17/19
Stanfield McAvin,77.01,83.84,2/16/19
Esmaria Raincin,24.25,26.4,1/22/19
Vitia Elsip,144.81,157.66,2/19/19
Feodor Bidmead,161.58,175.92,2/4/19
Hope Rides,28.78,31.33,2/15/19
Esmaria Raincin,42.32,46.08,2/18/19
Claudio Mimmack,190.66,207.58,1/22/19
Dianna Tuckwood,168.27,183.2,2/19/19
Claudio Mimmack,109.24,118.94,1/31/19
Petronia Massel,206.15,224.45,3/30/19
Carl Shakesbye,161.18,175.48,2/15/19
Jeffrey Elston,116.36,126.69,3/25/19
Esmaria Raincin,235.39,256.28,1/6/19
Claudio Mimmack,219.51,238.99,1/12/19
Goldina McCrohon,76.04,82.79,3/7/19
Stanfield McAvin,117.88,128.34,3/27/19
